subset	organ	dataset	study	collection_name	doi	cxg_url	collection_id	dataset_id	project_uuid	modalities	pipeline_version	reference	donor_column	sample_column	tech_covariates	author_annotation	institution	url	annotation_file	barcode_column	schema
public	Cervix	GSE173231	GSE173231		10.1172/jci.insight.149950			GSE173231		10x 5prime			donor_id	sample_id	10x 5prime	original_annotation		/nfs/team205/tcr_pipeline/datasets/pan_infection_atlas/adatas_for_integration/GSE173231_for_integration.h5ad			pan_infection
public	PBMCs	GSE158769	GSE158769		10.1038/s41586-022-04713-1			GSE158769		10x 3prime			donor_id	sample_id	10x 3prime	original_annotation		/nfs/team205/tcr_pipeline/datasets/pan_infection_atlas/adatas_for_integration/GSE158769_for_integration.h5ad			pan_infection
public	tumor+met LNs	GSE180268	GSE180268		10.1038/s41586-021-03862-z			GSE180268		10x 5prime			donor_id	sample_id	10x 5prime	original_annotation		/nfs/team205/tcr_pipeline/datasets/pan_infection_atlas/adatas_for_integration/GSE180268_for_integration.h5ad			pan_infection
public	PBMCs	Lindeboom_2024_PBMC	Lindeboom_2024		10.1038/s41586-024-07575-x			Lindeboom_2024		10x 5prime			donor_id	sample_id	10x 5prime	original_annotation		/nfs/team205/tcr_pipeline/datasets/pan_infection_atlas/adatas_for_integration/Lindeboom_2024_PBMC_for_integration.h5ad			pan_infection
public	Nasopharyngeal swabs	Lindeboom_2024_NP	Lindeboom_2024		10.1038/s41586-024-07575-x			Lindeboom_2024		10x 5prime			donor_id	sample_id	10x 5prime	original_annotation		/nfs/team205/tcr_pipeline/datasets/pan_infection_atlas/adatas_for_integration/Lindeboom_2024_NP_for_integration.h5ad			pan_infection
public	PBMCs	Reyes_2020	Reyes_2020		10.1038/s41591-020-0752-4			Reyes_2020		10x 3prime			donor_id	sample_id	10x 3prime	original_annotation		/nfs/team205/tcr_pipeline/datasets/pan_infection_atlas/adatas_for_integration/Reyes_2020_for_integration.h5ad			pan_infection
public	Liver	GSE182159_Liver	GSE182159		10.1136/gutjnl-2021-325915			GSE182159		10x 5prime			donor_id	sample_id	10x 5prime	original_annotation		/nfs/team205/tcr_pipeline/datasets/pan_infection_atlas/adatas_for_integration/GSE182159_Liver_for_integration.h5ad			pan_infection
public	PBMCs	GSE182159_PBMCs	GSE182159		10.1136/gutjnl-2021-325915			GSE182159		10x 5prime			donor_id	sample_id	10x 5prime	original_annotation		/nfs/team205/tcr_pipeline/datasets/pan_infection_atlas/adatas_for_integration/GSE182159_PBMCs_for_integration.h5ad			pan_infection
public	PBMCs	Waradon_Dengue	Waradon_Dengue					Waradon_Dengue		10x 5prime			donor_id	sample_id	10x 5prime	original_annotation		/nfs/team205/tcr_pipeline/datasets/pan_infection_atlas/adatas_for_integration/Waradon_Dengue_for_integration.h5ad			pan_infection
public	NALT	Coates_NALT	Coates_NALT		10.1101/2023.09.15.558006			Coates_NALT		10x 5prime			donor_id	sample_id	10x 5prime	original_annotation		/nfs/team205/tcr_pipeline/datasets/pan_infection_atlas/adatas_for_integration/Coates_NALT_for_integration.h5ad			pan_infection
public	PBMCs	GSE217930	GSE217930		10.1038/s41467-023-43181-7			GSE217930		10x 5prime			donor_id	sample_id	10x 5prime	original_annotation		/nfs/team205/tcr_pipeline/datasets/pan_infection_atlas/adatas_for_integration/GSE217930_for_integration.h5ad			pan_infection
public	PBMCs	GSE182536	GSE182536		10.1038/s41467-023-43376-y			GSE182536		10x 5prime			donor_id	sample_id	10x 5prime	original_annotation		/nfs/team205/tcr_pipeline/datasets/pan_infection_atlas/adatas_for_integration/GSE182536_for_integration.h5ad			pan_infection
public	PBMCs	HRA000190	HRA000190		10.1038/s41421-021-00367-x			HRA000190		10x 5prime			donor_id	sample_id	10x 5prime	original_annotation		/nfs/team205/tcr_pipeline/datasets/pan_infection_atlas/adatas_for_integration/HRA000190_for_integration.h5ad			pan_infection
public	PBMCs	GSE187515	GSE187515		10.1016/j.immuni.2022.03.004			GSE187515		10x 5prime (ECCITE-seq)			donor_id	sample_id	10x 5prime (ECCITE-seq)	original_annotation		/nfs/team205/tcr_pipeline/datasets/pan_infection_atlas/adatas_for_integration/GSE187515_for_integration.h5ad			pan_infection
public	PBMCs	Stephenson_2021	Stephenson_2021		10.1038/s41591-021-01329-2			Stephenson_2021		10x 5prime			donor_id	sample_id	10x 5prime	original_annotation		/nfs/team205/tcr_pipeline/datasets/pan_infection_atlas/adatas_for_integration/Stephenson_2021_for_integration.h5ad			pan_infection
public	PBMCs	COMBAT_2022	COMBAT_2022		10.1016/j.cell.2022.01.012			COMBAT_2022		10x 5prime			donor_id	sample_id	10x 5prime	original_annotation		/nfs/team205/tcr_pipeline/datasets/pan_infection_atlas/adatas_for_integration/COMBAT_2022_for_integration.h5ad			pan_infection
public	PBMCs	Yoshida_2021	Yoshida_2021		10.1038/s41586-021-04345-x			Yoshida_2021		10x 5prime			donor_id	sample_id	10x 5prime	original_annotation		/nfs/team205/tcr_pipeline/datasets/pan_infection_atlas/adatas_for_integration/Yoshida_2021_for_integration.h5ad			pan_infection
public	PBMCs	Liu_2021	Liu_2021		10.1016/j.cell.2021.02.018			Liu_2021		10x 5prime			donor_id	sample_id	10x 5prime	original_annotation		/nfs/team205/tcr_pipeline/datasets/pan_infection_atlas/adatas_for_integration/Liu_2021_for_integration.h5ad			pan_infection
public	PBMCs	Ren_2021	Ren_2021		10.1016/j.cell.2021.01.053			Ren_2021		10x 5prime			donor_id	sample_id	10x 5prime	original_annotation		/nfs/team205/tcr_pipeline/datasets/pan_infection_atlas/adatas_for_integration/Ren_2021_for_integration.h5ad			pan_infection
